Tweet,polarity,predicted_sentiment
I have my golden tickets f 4sq party Day after the real party #Redbullbpm with Felix da Housecat playing on iPad! #SXSW  {link},0.275,Positive
"GSD&amp;M Google #sxsw party with @mention is blowing my mind. So much amazing food, drink, music, &amp; photo booth fun!",0.48750000000000004,Positive
Length of Google penalty based on severity of breach of webmaster guidelines. i.e.white text on white bgr might get 30 day pen. #sxsw #qagb,0.0,Neutral
"���@mention Google to Launch New Social Network Called Circles, Today? {link} #sxsw�۝ Applause for a new privacy model attempt",0.10202020202020201,Positive
CNNMoney: Got a craving? #SXSW minds created an app for that - Foodspotting {link} #iPhone #apps,0.0,Neutral
"I may not have invites to all the &quot;cool&quot; #sxsw #sxswi parties, but I do have two iPhone chargers in my pocket, so you'll be happy to see me!",1.0,Positive
"@mention  hello! Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app, {link} booth 437",0.4,Positive
"Wondering how much revenue the Austin @mention store grossed on account of the ipad2, amid #sxsw ...what a strategic release...",0.2,Positive
Catch 22��_ I mean iPad 2 at #SXSW - {link} #apple #ipad2,-0.3125,Negative
Catch 22��_ I mean iPad 2 at #SXSW : {link},-0.53125,Negative
���@mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW�۝,-0.12121212121212122,Negative
This Week in #iPad clip: @mention joins @mention to review the free #SXSW Go #App! {link} #iPad2 #SXSWGo,0.5,Positive
I will be in Austin this weekend @mention #SXSW supporting Smarty Ears' launch of new iPad apps for Speech Therapy {link} #sxswh #sxsh,0.19318181818181818,Positive
#technews iPad 2 Gets Temporary Apple Store for SXSW {link} #Tech_News #Apple #Apple_Store #iPad_2 #SXSW #tech,0.0,Neutral
Forgot my iPhone for #sxsw. Android only. Knife to a gun fight,0.0,Neutral
"@mention  Its bigger than an iphone and smaller than a PC, so good for big events like #SXSW and meeti? {link}",0.175,Positive
Kawasaki: key to enchantment = trustworthiness of Zappos + likeability of Richard Branson + product of Apple #sxsw #mccannsxsw #mrmworldwide,0.0,Neutral
Google no lanzara ningun producto en South by SouthWest #sxsw 2011 {link},0.0,Neutral
"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw rt @mention via @mention",0.05804924242424242,Positive
"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw�۝ &gt;&gt; Should be good",0.18643939393939393,Positive
"Google to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention #SXSW #ScreenFuture",0.05804924242424242,Positive
&quot;How many people have iPads?&quot; Whole room raises hand. &quot;iPad 2's?&quot; Half the room raises hand. #stillonamacbook #shame #sxsw #nfusion,0.17777777777777778,Positive
But great mental image. RT @mention People in this session are taking photos w/ their iPad 2s up in the air... #doingitwrong #sxsw,0.35000000000000003,Positive
"Comprando mi iPad 2 en el #SXSW (@mention Apple Store, SXSW w/ 62 others) {link}",0.0,Neutral
How did I miss this?! I knew I spotted NFC enabled google places marker at birds! No wonder all the billboard near #sxsw {link},0.1,Positive
"Hm? Do we need another 1? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",0.05804924242424242,Positive
"Google is not launching anything during #sxsw, just partying {link} #circles",0.0,Neutral
It's also on Android. :) RT @mention Foodspotting's hit iPhone app finds the foods you crave {link}  #cnnmoneysxsw #sxsw,0.5,Positive
Temporary Pop Shop by #Apple at #SXSW and Nice Flipboard upgrade,0.6,Positive
BRILLIANT READ: Attention Marketers and Media Professionals: the iPad won't save you by @mention  {link} #usguys #SxSW,0.9,Positive
"#sxsw hot rumor about Google's new social network &quot;Google Circles&quot; {link} (photo, video, status sharing)",0.13989898989898988,Positive
Wow. Just saw someone using a computing device other than a Mac or an iPad here at #sxsw A rare sighting indeed.,0.09166666666666667,Positive
I can now say that Google got me drunk #sxsw #h4ckers,-0.5,Negative
My iPhone says it can't connect to the Internet even though #sxsw wifi works great on my computer. Any suggestions?,0.8,Positive
ipad is a slow resting heartrate  #tapworthy #sxsw #gsdm about leisure vs quick results on iphone,0.016666666666666635,Positive
���@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWi�۝ Gr8!,0.0,Neutral
There are so many ppl w/ Apple products at #SXSW - I think my head is about to explode! (this message brought to you via iPhone),0.625,Positive
Walked by the mobile Apple store in austin.  Line was insane. #sxsw,-1.0,Negative
There are two apple stores in ATX!! RT @mention The iPad 2 goes on sale next Friday...the Austin Apple Store is going to be busy! #SXSW�۝,0.0625,Positive
"Apple Pop Up Store for #SXSW, Why not Pop Up Genius Bars - Everywhere?",0.0,Neutral
Trying to update software (4.0) on iPhone to download #sxsw app. But so far no luck - wonder if it's because phone is from Mexico.,0.1,Positive
Brilliant use case! #SXSW &quot;@mention ...kik concierge service is great. Get @mention for android or iPhone and add the sxsw user &amp; ask away&quot;,0.9,Positive
This Waze vs Google discussion is one of the best I have seen at #sxsw. We need more competitors going head to head here.,0.75,Positive
��� Why Are We Better Than #Google? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,0.25,Positive
Wow. Just witnessed a homeless guy giving detailed ipad 2 inventory info to a passerby at the Austin popup store. #SXSW,0.25,Positive
"_��ۄ�___� ___�  _____�_�... &gt;&gt; @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",0.05804924242424242,Positive
@mention - re: &quot;lack of #SXSW newsworthy announcements&quot;. Unless you count Google Circles. :) #googlecircles,0.5,Positive
"@mention - spread the word, our #SXSW festival explorer App is live and free {link}",0.2681818181818182,Positive
@mention --&gt; RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW ... {link},0.13636363636363635,Positive
@mention -&gt; RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},0.13636363636363635,Positive
"At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSW",0.0,Neutral
"Wow folks, make sure that iPhone ringer is turned ALL the way up when u have to be up pre-sunrise for a flight. #internalalarmclockFTW #sxsw",0.3,Positive
"Let's see: Google announcing Circles, Obama in Austin, #SXSW donates proceeds to Japan. Ho hum",0.0,Neutral
@mention :) Maybe not *entirely* HD (Flip? iPhone? Other XL2 footage?) -- but certainly your concerts at #SXSW. It's gonna be grand.,0.2178571428571429,Positive
OH SNAP!!!!  At an 80s party hosted by Google! #sxsw,0.0,Neutral
The world's largest iPad. #sxsw {link},0.0,Neutral
Google 80's party at Maggie Maes #Sxsw... Got some free glow in the dark shades,0.125,Positive
"Get (down)loaded Hoot! - RT #HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",0.0,Neutral
@mention @mention  Google Circles will be their new social media site? Wow. #SXSW,0.08989898989898988,Positive
"@mention @mention @mention #Platformer CI di venues #SXSW pake 3 app 4sq API,D cnth : Tweetdeck etc (via : iPhone, Android, iPad and PC)",0.0,Neutral
Google's @mention &quot;credit card cos. know with 98% accuracy 2 yrs before that you're going to get divorced&quot; {link} #sxsw,0.0,Neutral
@mention @mention be sure to check out the @mention jukebox app running party music for #SXSW. With the @mention API.  {link},0.5,Positive
@mention @mention I'm reading your book on my flight to #SXSW and the guy next to me is reading it on the iPad. BOOM!,0.0,Neutral
Hijacked @mention iPhone since mine is DOA. Muahahahahhaahahaa. #SXSW partay time. Thx @mention for dinner,0.0,Neutral
@mention @mention saw this morning that Google Circles would start rollout at #sxsw - not holding breath but open-minded,0.4,Positive
"Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw",0.0,Neutral
"I'd take #sxsw hashtags over scheen, ipad/ipad2, tv or sports tweets any day, but for those needing a filter��_ {link}",0.0,Neutral
Free for #SXSW: fluffertraX Radio #iPhone app--{link},0.4,Positive
#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link} via @mention @mention,-0.8,Negative
The iPad 2 is the also a cartoonishly large digital camera. #SXSW #CStejas {link},0.10714285714285714,Positive
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,0.13636363636363635,Positive
"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",0.3,Positive
"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw",0.05656565656565656,Positive
@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,0.0,Neutral
@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!,0.0,Neutral
"O no,not again {link} Google Circles Juwan Howard #sxsw",0.0,Neutral
Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.,0.0,Neutral
I just realized my iPhone's gonna go nuts with Foursquare and Gowalla updates. #SXSW,0.0,Neutral
Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,0.5,Positive
"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",0.0,Neutral
Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,0.0,Neutral
"Just buy an iPad 2 at #SXSW? Give it the finger. Better yet, give it four of 'em :: {link}",-0.125,Negative
@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},0.17045454545454544,Positive
#sxsw  thanks for the ever present iPhone barging tables...,0.1,Positive
Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,0.0,Neutral
Queue at Apple Pop-Up Store at #sxsw still long!,-0.0625,Negative
Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},0.0,Neutral
Vai come̤ar a palestra do  @mention ex-chief evangelist of Apple #sxsw,0.0,Neutral
"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",0.5,Positive
Man gets arrested at #sxsw for not having an iPhone.  {link},0.0,Neutral
Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,0.4,Positive
iPhone crashed in front of #sxsw Apple pop-up. #bestworstthingever,0.0,Neutral
"Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS. So sad missed Rye Rey",-0.25,Negative
The band at the Google party is the most entertaining band I have ever seen #sxsw,0.5,Positive
"William Patry, google, says most authors dont care about copyright, they care about income. #sxsw but what models?",0.5,Positive
"Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.",0.05,Positive
Marissa Mayer: Check-ins are fun but what do you get from them?  Thats why google is testing loyalty offers.  Watch out foursquare. #sxsw,0.2,Positive
@mention be sure to use our FREE App for checking out the bands at #SXSW! {link},0.5,Positive
"Enjoying Berkowitz talk about RFID and NCF...impact on mobile, retail. Would you carry a NFC phone? Google bullish #sxsw ballroom E",0.5,Positive
Any blackberry apps for #sxsw ?? Pls let @mention and I know...cheers...will have iphone too...:-),0.5,Positive
"&quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",0.5,Positive
ipadi alacagimiz yer belli oldu:  Apple to Open Pop-Up Shop at Austin #SXSW {link} via @mention @mention,0.0,Neutral
The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw,0.0,Neutral
"Music: Location, mobile recording, meet @mention - #ios and #android updates in time for #sxsw. {link}",0.0,Neutral
Saw a bunch of security guards playing with iPads at the apple store after hours last night #sxsw {link},0.0,Neutral
"#flipboard - when bldg app for AppStore, need wholistic mktg awareness, p.r. strategy to drive adoption Don't just rely on Apple. #rji #sxsw",0.0,Neutral
This could be the first big news out of #sxsw... {link}  Google building new social framework.,0.10492424242424242,Positive
Unexpected bonus of waking up at 4am to make #SXSW flight: being up to order iPad 2 right as it's released,0.19285714285714284,Positive
Near Field Communication already here on android phones. #SXSW #bemyneighbor,0.1,Positive
"My #agnerd confession, using laptop, iPad and blackberry to follow #SXSW from afar to see #agchat rock it",0.0,Neutral
UBER BRAND SMART: Gonna move a ton of iPad2 - #Apple opening a popup shop in Austin for #SxSW  {link} via@mention @mention,0.21428571428571427,Positive
"I'm bummed that I missed the Team Android party at #SXSW... Oh well, CTIA is right around the corner... Boom, roasted...",0.2857142857142857,Positive
First ipad2 sighting at #SXSW interactive - infact everyone has at least 1 Apple product in use at all times,-0.024999999999999994,Negative
"Getting ideas at #SXSW? Save them on your iPad using Action Lists. True to GTD, syncs w/ iPhone &amp; web.
{link}",0.22499999999999998,Positive
Next up: designing interfaces for iPad. Or should I hit up &quot;Your Brand is Obsolete&quot;? #SXSW,0.0,Neutral
"So every DJ at #SXSW now spins with an iPad as part of their arsenal. The future is coming. No wait, it's here.",0.0,Neutral
"Thank goodness for these two hour breaks where I have turn off my iPhone, or my battery would be TOAST!  #sxsw",0.0,Neutral
Our friends at @mention finally &quot;put out&quot; for Android. Get their app &amp; get your disc on during #sxsw ^KH,0.0,Neutral
That sounds...fantastic. RT @mention At the Google party...awesome. #SXSW,0.0,Neutral
"Only white #ipad2 64gig wifi available at #Austin #SXSW #Apple popup store right now, but no wait!",0.18928571428571428,Positive
"Temp store #sxsw  @mention Apple Store, SXSW {link}",0.0,Neutral
I wish the apple store employees cheering for all the people in line at the pop up apple store would cheer me on while I do timesheets #SXSW,0.0,Neutral
"Got in the Google party not before being interviewed by Twit TV, finally ran into @mention #sxsw",0.0,Neutral
if you are ready to take your tech geekdom to a whole new level at #sxsw you will need the Twitter or Google hi-tops {link},0.1787878787878788,Positive
Did anyone see/visit  the temporary Apple Store at #SXSW ?,0.0,Neutral
Looks like the line for the Apple pop-up store on Congress Ave is already down to the end of the block..  #SXSW #SteveJobsWins,-0.15555555555555556,Negative
Good place to test it. Will it be edgy enough? @mention Q2 - Google's check in offers? Testing at #sxsw {link} #smccolumbus,0.125,Positive
I love the waves!!!!!! {link} iPad Webber #japan #sxsw,1.0,Positive
"Cover time! #sxsw (@mention Apple Store, SXSW w/ 9 others) {link}",0.0,Neutral
Hope there's time left for Poked Liked and retweeted and Google love story (social vs search). #sxsw,0.2833333333333334,Positive
Just passed the Apple store.. On 6th.. Easily 150 folks in line #SXSW  {link},0.43333333333333335,Positive
Just joined the heaving river flow into see Marissa Mayer (Google) #sxsw,0.0,Neutral
Was shocked to see Google showcasing Blogger at #SXSW - thought they completely forgot about that service - or is that just me?,-0.3,Negative
Already seeing a heavy iPad 2 presence at #sxsw #duh,-0.25,Negative
Great panel w/guys fr @mention @mention @mention &amp; google hotpot! Social recs def not the end for recs. #discotalk #sxsw #sloanxsw,0.5166666666666667,Positive
#SXSW panel: &quot;Staying Alive: Can indie iPhone game development survive?&quot; Kind of a downer... They should try #CoronaSDK! @mention,0.11249999999999999,Positive
#SXSW haven't trend this time because of the tsunami..the iPad 2 did though.,0.0,Neutral
#SXSW attendees - need one of the best QR scanner/creators on your iPhone? Send us a pic of a QR code you found for a free copy of Optiscan,0.7,Positive
#UXdes @mention is glad there are no standard #iPad navigation tools. She might be the only one! #SXSW,0.16666666666666666,Positive
Badger @mention on Angel News #sxsw {link} - nice one. Also we're giving away a free iPad 2 - {link} #contest,0.5,Positive
"#sxsw: @mention We think we control our identities on Facebook, but as Google becomes an AI our profile will be built of what we do",0.0,Neutral
Wow! RT@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circles,0.041666666666666664,Positive
Maybe someone that gets the #ipad2 at #SXSW will hand me their old iPad instead of throwing it away,0.1,Positive
Google+Deep Eddy Sweet Tea vodka+ GSDM cool factor #SXSW (@mention GSD&amp;M w/ 120 others) {link},0.35,Positive
#SXSW. Peep the awesome product video - @mention can't compete with these games. - {link} - CC @mention  @mention,1.0,Positive
Apple offers original iPad donation program {link} #entry #friends #house #sxsw,0.2375,Positive
"Free iTunes Album, #SXSW Featured Artists, grab it if you missed it: {link}",-0.175,Negative
The dailies on iPad are going to evolve...they're still impossible to download (20 MB and up downloads) #sxsw,-0.6666666666666666,Negative
Sooo... Design for iPads session is just an hour long ad for me to buy and iPad and apps? #amismarternow? #sxsw,-0.05,Negative
Google doesn't place any value on your domain extension. They are all equal. #SXSW #qagb,0.0,Neutral
The SXXpress line is almost as long as the Apple line. #sxsw {link},-0.05,Negative
"Reports of @mention introducing a new social media platform at #SXSW were premature, but hopefully not overly optimistic {link}",0.08484848484848484,Positive
Imagine if every company had the 20% concept like Google. #bavcID #SXSW,0.0,Neutral
Google's Facebook-killer &quot;Circles&quot; to be unveiled today at #SXSW? {link},0.0,Neutral
No ipad2 for me. Now I have 3 weeks w no iPad since I gave to @mention for #sxsw!! Withdrawal!!!,0.0,Neutral
@mention FourSquare is pushing their 3.0 iPhone/Android app heavily here at #sxsw. Wish they gave your webOS client equal billing.,-0.1,Negative
Liveblog from #SXSW: Can indie #iPhone game development survive? {link} #games,-0.2,Negative
is walking around #SXSW while staring down at my iPhone 4... Just like everyone else.,-0.15555555555555556,Negative
"So the big buzz this year at #SXSW, iPad 2, of course, and Group chat/text services like Group Me or Yobongo. Now you know. #fb",0.0,Neutral
Google might launching a social network called Circles at #SXSW ... of course {link},0.03333333333333333,Positive
Food4Thought...juxtaposed on my iPad #SXSW is rocking; Lybian rebels are thwarted; it's a GORGEOUS day in LA &amp; Japan is reeling,0.7,Positive
#tech #Lightbox_Photos Wants To Be Your New #Android Camera App (#SXSW): Although Android adoption is... {link} #technology,0.16818181818181818,Positive
This #Google Circles has everyone going around in Circles! {link} #SXSW,0.0,Neutral
"&quot;Google products need to be condensed&quot;,  #Merissa #Mayor at #SXSW Conference 2011 {link}",0.0,Neutral
Who uses Google TV in this room? Nobody raises a hand in a packed room at the #socialviewing session at #sxsw,0.0,Neutral
"#Apple, #Google, #Intel and Others Go Gaga for the Go Game | Fast Company {link} #SXSW #SocialMedia #createyourownadventure",-0.1,Negative
"Bet on a GoogleBuzz-like #fail. People don't care about privacy, else they'd quitted FB/TW already RT @mention Google Circles will be __ #sxsw",-0.5,Negative
Whoohoo! Got it! ;) RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW (cont) {link},0.19318181818181818,Positive
"#technology #Apple saves #SXSW, set to open pop-up store: Despite having two other Austin, Texas, locations,... {link} #tech",-0.0625,Negative
Party with DJ Do Jo playing with Red Bull BPM on iPad! #SXSW #courtyard @mention  {link},0.0,Neutral
a trend that Tomlinson is seeing is that age of iPad owners is higher than expected (says 55+ is their demo) #SXSW #in #newsapp,0.075,Positive
Back in the big apple!  Need to wean off my new foursquare addiction thanks to #sxsw and @mention Do people really care where I am? Nah,0.10727272727272727,Positive
funny! iphone correction? RT @mention Dashing off to learn a thing or two about longhorn journalism #SXSW,0.3125,Positive
@mention How was Fri dinner and are you enjoying #sxsw? Twitter is abuzz with possible news re: Google Circles launch that may happen there,0.25,Positive
Passed a huge queue for iPad design for boomers on the way to what mobile apps can learn from comic books (also full). #SXSW,0.3333333333333333,Positive
"Diller: Why would you do product only for the iPad or any one form factor in today's multichannel, multi platform world? #SXSW #KetchSX",0.0,Neutral
@mention I heard you got the first IPad 2 at @mention #10.5hrs? #Austin #sxsw {link},0.25,Positive
@mention I'm going to #SXSW let's meet up! I can't use @mention yet because I have an Android phone but show me how it works!,0.0,Neutral
@mention if it makes you feel better google-wannabe fanbois were acting like giggling schoolgirls in front of Marissa Mayer y'day #SXSW,0.25,Positive
#Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} via @mention  #sxsw,0.0,Neutral
"The geek influence hit new highs yesterday, when Apple opened a pop-up store at #SXSW for the sale of the iPad 2. {link}",0.13636363636363635,Positive
"We're giving away a shiny iPad 2 at SXSW Quotables, simply sign up to be entered automatically! &gt;&gt; {link}  #ipad2 #sxsw",0.0,Neutral
Volunteering for #sxsw has been a lot more boring than expected. My thumbs are already getting tired from such extreme #iPhone usage,-0.1875,Negative
Been playing w/ the Windows7 phone here at #SXSW.The animation is better than an iphone&amp; it does look very interesting!,0.65625,Positive
{link} Coinsidence? Sounds like a good strategy to me. Wish I could go to #SXSW,0.7,Positive
+1 ���@mention +1 RT @mention Petricone says Google TV is just a browser. I don't think that's correct. #SXSW�۝,0.0,Neutral
MT ���@mention Agencies push Google in directions they never would have gone says Creative Lab Strategy Director @mention #SXSW�۝,0.5,Positive
"FYI @mention is working on an iPhone app, looking to release it this summer, hopefully. #SXSW #flipboard",0.0,Neutral
Registration to Android market has been approved! #lmndst #sxsw #startupbus,0.0,Neutral
Hey @mention we're at the @mention grill too!! Why don't you come by? You can create a customizable iPhone cases for a tweet! #sxsw,0.0,Neutral
Best sessions I've seen so far at #SXSW have been this morning. Music of Ixd and Designing iPad Interfaces #winning,0.5333333333333333,Positive
How many iPad2's do you think Apple could sell to sxsw attendees if they set up a pop-up store at the convention center? #sxsw,0.2,Positive
"@mention is biyt.ly for email, like google voice for email #loveit #sxsw #startupbus",0.0,Neutral
{link} This is insane... Even more of a reason to go to SXSW #SXSW #Appletogo,-0.25,Negative
"Bad news is it costs $1,000? RT @mention Louis Vuitton has an iPhone app. Called Amble #digitalluxury #sxsw",-0.6999999999999998,Negative
"@mention is talking about how mobile phones, Google Earth, FB is empowering people to fight back against Middle East dictators... #SXSW",0.0,Neutral
the panelist from Texas Observer called the iPad a lean back device #SXSW #in #newsapp #i'mconfused,0.0,Neutral
You know it's bad with you have to un-RSVP just to see/use your calendar.  #iphone #sxsw #FML,-0.6999999999999998,Negative
"I agree with @mention on their @mention concerns, but your #sxsw #microformats panelist is just condescending and rude.",-0.3,Negative
dancing with myself at google 80s party.... ain't that the truth! need my girl @mention up in this joint #SXSW {link},0.0,Neutral
I would give my Apple stock to be more like @mention {link} #SXSW,0.5,Positive
I would give my Apple stock to be more like @mention slim. {link} #SXSW,0.5,Positive
need to give my iPhone &amp; liver a rest. #SXSW,0.0,Neutral
#sxsw look for the blue hair. I've got your free android phone info stickers from @mention #allhat3,0.2,Positive
Come check out @mention iPad App demos at #ARM's #SXSWparty on Mon! {link} #SXSW #SXSW2011,0.0,Neutral
"Tech Check podcast -- #SxSW #Android passes #BlackBerry, a big Twitter #fail! -- {link} by @mention #sxsw #cnn",-0.3125,Negative
now I feel better (#106 1st day) @mention #sxsw ipad store sold out of everything except 64gig wifi only white,0.16666666666666666,Positive
They should stock up on Mophie juice packs: Apple temp store opens in Austin for #SXSW &amp; iPad 2 launch {link} via @mention,0.0,Neutral
LOL. #Apple erects temporary Apple Store in #Austin for #SXSW to sell #iPad 2. {link},0.8,Positive
Line a mile long outside. Lucky to get in just to sit on the floor -Your Mom Has An iPad. I miss the old days at #sxsw before 40% + growth!,0.10208333333333333,Positive
Barry Diller interview at #SXSW was pretty high level. Does not understand the Daily on iPad. All company valuations are high.,0.14250000000000002,Positive
Partying like it's 1986 (last time privacy law updated) with Google and the ACLU #sxsw (@mention Maggie Mae's) [pic]: {link},-0.375,Negative
Mad long line for Google party at Maggie Mae's. Hope it's worth it.. but with 80s theme I am very optimistic #sxsw,-0.04375000000000001,Negative
I feel silly but cannot figure out how to update the #sxsw mobile app on android. It doesn't seem to have &quot;options&quot; (bottom left button)?,-0.25,Negative
Just downloaded an ipad app for countering jetlag in Austin. #sxsw,0.0,Neutral
@mention look! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW ... {link},0.13636363636363635,Positive
Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,0.0,Neutral
@mention Luckily @mention has a pop up store at #SXSW!,0.41666666666666663,Positive
"You finally get everyone to buy in to Facebook and then Google introduces Circle. No fair. Stop with all the innovation, people #sxsw",-0.175,Negative
"I got so many cool things from #sxsw.. headsets, usb drives, iphone chargers galore, earphones... must have 1k in products! #rad",0.46875,Positive
"Google's Marissa Mayer on the location-based 'fast, fun and future' {link} #SXSW #SXSWi",0.16666666666666666,Positive
"Hi, if came out here for #sxsw and in line at the temp apple store to buy an ipad2 for the fuck home. #douchebloggers",-0.4,Negative
Nuts.  ���@mention @mention (via @mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝,0.0,Neutral
Nice RT @mention Apple to open pop-up store at SXSW Festival {link} #SXSW #ipad #mac,0.3,Positive
DANG RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link} (via @mention who gave us no credit! ),0.625,Positive
ZOMG RT @mention Special Apple store at #sxsw just for ipad. Line is a block long. plixi.com/p/83323324 plixi.com/p/83323414,0.15357142857142858,Positive
"Google &amp; BAVC launch Impact Dashboard at #SXSW - web app to collect, host and visualize data in real time: bavc.org/impact",0.2,Positive
Do the Humpty hump!  Google ACLU Party like its 1986! #SXSW,0.0,Neutral
Sound of My Voice was shot exploiting Apple &amp; Best Buy's 14-day return policy on iMacs. Brilliant. #sxsw:  {link},0.38749999999999996,Positive
"RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #twnp #socmedia",0.05804924242424242,Positive
Mike Tyson launched iPhone game @mention #SXSW {link} #tech #news {link},-0.4,Negative
Never seen so many heads turn at one point. Someone from #Apple asks a question to Reid Hoffman #SXSW,0.5,Positive
Whoa - line for ipad2 is 3blks long!!! #apple #Austin #SXSW,-0.09765625,Negative
This iphone game presentation is being delivered on a windows laptop.  #amusing #sxsw,0.09999999999999998,Positive
"another one? holy social fragmentation&gt;Google to Launch New Social Network Called Circles, Possibly 2day at #sxsw {link} @mention",0.05075757575757575,Positive
Ok. Someone's trying to tell me something: For the 2nd day in a row I got to the #sxsw Apple store right as it closed.,0.0619047619047619,Positive
Interesting RT @mention Google analytics can track offsite links as virtual pg views using Script. #moreknowledge #sxsw #mitharvard,0.5,Positive
